Event	ID	Name			Wwise Object Path	Notes
	788884573	Stop			\Main\Stop	
	1256624823	ToExplore			\Main\States\ToExplore	
	1281810935	Start			\Main\Start	
	3532929732	ToTitle			\Main\States\ToTitle	

State Group	ID	Name			Wwise Object Path	Notes
	3161908922	Main			\GameStates\Main	

State	ID	Name	State Group			Notes
	579523862	Explore	Main			
	748895195	None	Main			
	2764240573	Combat	Main			
	3705726509	Title	Main			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	566819289	Blue	.cache\4E\{4EADD18C-64B1-3142-5077-BB98E7D45EC7}.wem		\Containers\Music\Music\Music\Explore\Three Bar Tension\Blue		1180848
	621135786	Blue	.cache\E8\{E85C36B3-1DC5-A0CE-3AAF-F62CF08EC9A4}.wem		\Containers\Music\Music\Music\Explore\One Bar Tension\Blue		394432
	678888749	Blue	.cache\6B\{6BEB6635-4572-D787-6529-7D3CDCCF869B}.wem		\Containers\Music\Music\Music\Explore\Three Bar Tension\Blue		1180848
	740289943	Blue	.cache\36\{363B3AE4-0E1D-5F1B-ECAE-51A503EBC008}.wem		\Containers\Music\Music\Music\Explore\One Bar Tension\Blue		394432
	746818244	Red	.cache\AF\{AFCD83BE-2527-9CBA-F256-228E4F106DB2}.wem		\Containers\Music\Music\Music\Explore\Three Bar Tension\Red		1180848
	757670044	Blue	.cache\C6\{C6823679-FEF6-F2BC-E058-1378635B3A6D}.wem		\Containers\Music\Music\Music\Explore\Two Bar Tension\Blue		787648
	781188553	Blue	.cache\FE\{FEAABC34-7FF6-2C7D-43BC-60288C7D4083}.wem		\Containers\Music\Music\Music\Explore\Four Bar Tension\Blue		1574064
	796063810	Blue	.cache\F2\{F26FE9ED-5851-766D-526A-2C3EB80E8A91}.wem		\Containers\Music\Music\Music\Explore\Four Bar Tension\Blue		1574064
	804465246	Blue	.cache\0E\{0EA976A0-1D09-F0D2-E36E-8D84A0A89817}.wem		\Containers\Music\Music\Music\Explore\Three Bar Tension\Blue		1180848
	843444672	Red	.cache\7A\{7AF6AE14-2EB0-7E3A-6D90-651BE106C7EE}.wem		\Containers\Music\Music\Music\Explore\One Bar Tension\Red		394432
	846082782	Red	.cache\F3\{F3057D85-5319-6A1F-06F9-C01A4EB534E6}.wem		\Containers\Music\Music\Music\Explore\Three Bar Tension\Red		1180848
	854527270	Blue	.cache\A3\{A349CBC8-D0DD-20EC-4E6C-34E1A433E970}.wem		\Containers\Music\Music\Music\Explore\Four Bar Tension\Blue		1574064
	860451539	Blue	.cache\0D\{0DD36869-0D4F-E050-F2C7-E235EF291FA4}.wem		\Containers\Music\Music\Music\Explore\Three Bar Tension\Blue		1180848
	892460513	Red	.cache\C3\{C3E82C8B-7083-F856-C107-10B07D7B504D}.wem		\Containers\Music\Music\Music\Explore\Two Bar Tension\Red		787648
	893392271	Red	.cache\A7\{A7FAA670-0645-82FC-683E-60E25E62606F}.wem		\Containers\Music\Music\Music\Explore\Two Bar Tension\Red		787648
	902780244	Red	.cache\78\{78316911-C7D9-1F19-7873-70322D0CEE43}.wem		\Containers\Music\Music\Music\Explore\Two Bar Tension\Red		787648
	904336629	Red	.cache\A0\{A06745F7-ACFE-A2E1-60C1-309344DB405A}.wem		\Containers\Music\Music\Music\Explore\One Bar Tension\Red		394432
	912072526	Red	.cache\87\{8730D6AF-5039-86DA-2E45-E636E7B87183}.wem		\Containers\Music\Music\Music\Explore\Two Bar Tension\Red		787648
	944289266	Blue	.cache\91\{912FA35F-40DF-B0D5-9320-EB7760AC6F72}.wem		\Containers\Music\Music\Music\Explore\Four Bar Tension\Blue		1574064
	963323804	Red	.cache\C3\{C3688A40-D65D-F1DE-B611-B44AB53E5C94}.wem		\Containers\Music\Music\Music\Explore\Four Bar Tension\Red		1574064
	963939848	MX_MainTitle_breakStrings_100bmp	.cache\D5\{D57E03DF-91C5-0F3D-B93C-9B083882D590}.wem		\Containers\Music\Music\Music\Title\MX_MainTitle_breakStrings_100bmp\MX_MainTitle_breakStrings_100bmp		13879420
	979247662	Red	.cache\05\{05095AD4-A4E4-4C8D-F73A-056589AC3C2D}.wem		\Containers\Music\Music\Music\Explore\One Bar Tension\Red		394432
	1047260527	Blue	.cache\E6\{E6228570-47FD-9334-D72D-3CB8DF8BA119}.wem		\Containers\Music\Music\Music\Explore\Four Bar Tension\Blue		1574064

